period,demand,marketPrice,oldMarketPrace,player kazanma,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,Player26,Player27,Player28,Player29,Player30,Player31,Player32,Player33,Player34,Player35,Player36,Player37,Player38,Player39,quant,player_bid_price,pltNum,Bioenergy,CCGT,Coal,Geothermal,Hydro,Nuclear,Solar,Wind,capacity,investmentCost,efficiency,capacityFactor,CO_Emission,to_build_period,operation_period,fc_Urn,fc_Coal,fc_Gas,fc_Bio,cc_Urn,cc_Coal,cc_Gas,cc_Bio
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,120,16,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,132,18,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,121,18,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,143,18,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,500,90,24,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,180,70,24,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,34,608,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,40,608,0,1,0,0,0,0,0,0,800,70,0.6,0.85,0.4,2,7,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,1,0,0,0,0,1,0,0,0,120,60,1,0.5,0,2,9,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,155,15,0,0,0,0,1,0,0,0,120,60,1,0.5,0,2,9,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,135,17,0,0,0,0,1,0,0,0,120,60,1,0.5,0,2,9,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,80,23,0,0,0,0,1,0,0,0,120,60,1,0.5,0,2,9,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,32,0,0,0,0,1,0,0,0,120,60,1,0.5,0,2,9,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,32,0,0,0,0,1,0,0,0,120,60,1,0.5,0,2,9,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,100,2,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
